id,name,Average Rating,Movie 0,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,Movie 9,Movie 10,Movie 11,Movie 12,Movie 13,Movie 14,Movie 15,Movie 16,Movie 17,Movie 18,Movie 19,Movie 20,Movie 21,Movie 22,Movie 23,Movie 24,Movie 25,Movie 26,Movie 27,Movie 28,Movie 29,Movie 30,Movie 31,Movie 32,Movie 33,Movie 34,Movie 35,Movie 36,Movie 37,Movie 38,Movie 39,Movie 40,Movie 41,Movie 42,Movie 43,Movie 44,Movie 45,Movie 46,Movie 47,Movie 48,Movie 49,Movie 50,Movie 51,Movie 52,Movie 53,Movie 54,Movie 55,Movie 56,Movie 57,Movie 58,Movie 59,Movie 60,Movie 61,Movie 62,Movie 63,Movie 64,Movie 65,Movie 66,Movie 67,Movie 68,Movie 69,Movie 70,Movie 71,Movie 72,Movie 73,Movie 74,Movie 75,Movie 76,Movie 77,Movie 78,Movie 79,Movie 80,Movie 81,Movie 82
98,Sarah Polley,6.444444444444445,44853.0,1946.0,10217.0,20.0,924.0,11588.0,37707.0,20156.0,9430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Amanda Plummer,6.928571428571428,680.0,20.0,101299.0,177.0,17834.0,11229.0,11980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Scott Speedman,6.18,18074.0,20.0,52520.0,11679.0,72570.0,283686.0,834.0,4911.0,277.0,46829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Deborah Harry,6.6,12079.0,20.0,2142.0,837.0,13201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Mark Ruffalo,6.655172413793105,44754.0,16523.0,10096.0,24428.0,12100.0,20.0,314365.0,35056.0,21755.0,22267.0,68721.0,198277.0,99861.0,38.0,1717.0,2100.0,291805.0,10944.0,1538.0,3682.0,11324.0,9007.0,14295.0,39781.0,55180.0,16155.0,75656.0,8338.0,1949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Peter Jackson,7.283333333333334,49051.0,122.0,120.0,121.0,122917.0,254.0,1024.0,57158.0,17654.0,7980.0,17578.0,4638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Elijah Wood,6.552173913043479,49051.0,165.0,20763.0,8656.0,122.0,120.0,121.0,187.0,2266.0,12245.0,38.0,10741.0,12279.0,103620.0,12244.0,274854.0,68924.0,36355.0,9836.0,84184.0,65759.0,9276.0,34723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Viggo Mortensen,6.547826086956523,9281.0,10468.0,8744.0,122.0,120.0,121.0,59.0,11980.0,20766.0,28029.0,2023.0,283708.0,2252.0,48309.0,48231.0,13495.0,13516.0,12690.0,11228.0,4421.0,12410.0,83770.0,8963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Cate Blanchett,6.845161290322581,217.0,49051.0,4922.0,122.0,120.0,121.0,3172.0,2567.0,122917.0,57158.0,4638.0,39780.0,150689.0,3902.0,1164.0,160588.0,1259.0,50456.0,24137.0,4517.0,10629.0,152760.0,82702.0,20662.0,12596.0,12429.0,1213.0,4518.0,421.0,182.0,6440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Christopher Lee,6.568421052631579,1894.0,1895.0,49051.0,11519.0,122.0,120.0,121.0,122917.0,118.0,12155.0,62213.0,44826.0,3933.0,41317.0,682.0,928.0,12602.0,2268.0,11546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Orlando Bloom,7.0928571428571425,22.0,652.0,122.0,120.0,121.0,52451.0,122917.0,58.0,285.0,57158.0,185567.0,1495.0,855.0,9621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Keira Knightley,6.800000000000001,1893.0,253412.0,22.0,58.0,285.0,198277.0,48231.0,9667.0,88005.0,9923.0,12783.0,137094.0,4348.0,42188.0,4347.0,508.0,455.0,205596.0,96724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Howard Shore,6.9410256410256395,2280.0,49051.0,9800.0,9591.0,788.0,122.0,120.0,121.0,59.0,2567.0,1946.0,122917.0,44826.0,522.0,2142.0,837.0,314365.0,57158.0,2252.0,48231.0,14359.0,243.0,12201.0,8843.0,10731.0,19457.0,274.0,1422.0,4547.0,9613.0,11371.0,24021.0,2649.0,9535.0,3131.0,222649.0,1832.0,9879.0,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
